year,subject,school_code,school_name,group_code,school_type,city,major_name,direction,plan_count,tuition,joint_program,partner_school,remarks
2026,历史,C170,武汉职业技术大学,C17007,公办,武汉,全媒体广告策划与营销,财经|旅游,8,5000,否,,(乡村振兴；办学地点：光谷校区)
2026,历史,C170,武汉职业技术大学,C17007,公办,武汉,药品经营与管理,财经|旅游,7,5000,否,,(乡村振兴；办学地点：光谷校区)
2026,历史,C170,武汉职业技术大学,C17007,公办,武汉,食品生物技术,财经|旅游,4,5000,否,,(乡村振兴；办学地点：光谷校区)
2026,历史,C170,武汉职业技术大学,C17007,公办,武汉,商务数据分析与应用,财经|旅游,5,5000,否,,(乡村振兴；办学地点：光谷东校区)
2026,物理,C170,武汉职业技术大学,C17008,公办,武汉,电子信息工程技术,计算机|机械,42,5000,否,,(办学地点：光谷校区)
2026,物理,C170,武汉职业技术大学,C17008,公办,武汉,光电显示技术,计算机|机械,15,5000,否,,(办学地点：光谷校区)
2026,物理,C170,武汉职业技术大学,C17008,公办,武汉,智能产品开发与应用,计算机|机械,28,5000,否,,(办学地点：光谷校区)
2026,物理,C170,武汉职业技术大学,C17008,公办,武汉,计算机网络技术,计算机|机械,27,5000,否,,(办学地点：第一学年在光谷东校区学习，其余学年在光谷校区学习)
2026,物理,C170,武汉职业技术大学,C17008,公办,武汉,软件技术,计算机|机械,15,5000,否,,(办学地点：第一学年在光谷东校区学习，其余学年在光谷校区学习)
2026,物理,C170,武汉职业技术大学,C17008,公办,武汉,智能网联汽车技术,计算机|机械,22,5000,否,,(办学地点：第一学年在光谷东校区学习，其余学年在光谷校区学习)
2026,物理,C170,武汉职业技术大学,C17008,公办,武汉,机电一体化技术,计算机|机械,19,5000,否,,(办学地点：光谷校区)
2026,物理,C170,武汉职业技术大学,C17009,公办,武汉,大数据技术,计算机|电力|财经|建筑|机械|旅游,16,5000,否,,(办学地点：第一学年在光谷东校区学习，其余学年在光谷校区学习)
2026,物理,C170,武汉职业技术大学,C17009,公办,武汉,工业软件开发技术,计算机|电力|财经|建筑|机械|旅游,14,5000,否,,(办学地点：第一学年在光谷东校区学习，其余学年在光谷校区学习)
2026,物理,C170,武汉职业技术大学,C17009,公办,武汉,机械制造及自动化,计算机|电力|财经|建筑|机械|旅游,17,5000,否,,(办学地点：光谷校区)
